"gene_id","hl.Neurite","hl.Soma"
"ENSMUSG00000009741",4.35,3.625
"ENSMUSG00000009828",3.9,2.025
"ENSMUSG00000009907",3.45,4.675
"ENSMUSG00000010067",5.575,1.525
"ENSMUSG00000010086",7.55,7.7
"ENSMUSG00000010110",5.625,1.6
"ENSMUSG00000010175",2.65,1.7
"ENSMUSG00000010453",6.7,2.375
"ENSMUSG00000010476",1.8,3.35
"ENSMUSG00000010505",3.75,4.525
"ENSMUSG00000010608",2.55,2.55
"ENSMUSG00000010663",4.7,5.975
"ENSMUSG00000011256",2.2,1.825
"ENSMUSG00000011877",6.85,5.875
"ENSMUSG00000011958",6.475,5.45
"ENSMUSG00000011960",4.175,2.025
"ENSMUSG00000012405",3,5.525
"ENSMUSG00000012422",6.425,2.4
"ENSMUSG00000012429",2.775,3.275
"ENSMUSG00000012535",5.225,3.925
"ENSMUSG00000013033",0.725,0.625
"ENSMUSG00000013076",5.225,2.8
"ENSMUSG00000013236",5.8,3.3
"ENSMUSG00000013367",3.55,4.05
"ENSMUSG00000013415",5.1,2.275
"ENSMUSG00000013663",4.025,2
"ENSMUSG00000013701",4.075,2.825
"ENSMUSG00000014074",5.15,2.35
"ENSMUSG00000014177",2.625,2.625
"ENSMUSG00000014195",3.625,6.175
"ENSMUSG00000014226",4.5,4.325
"ENSMUSG00000014294",6.775,5.6
"ENSMUSG00000014301",3.075,1.95
"ENSMUSG00000014349",7.25,5.95
"ENSMUSG00000014355",2.175,3.125
"ENSMUSG00000014504",5.575,3.025
"ENSMUSG00000014592",3.65,2.2
"ENSMUSG00000014769",5.1,4.925
"ENSMUSG00000015087",1.575,2.225
"ENSMUSG00000015092",6.425,8.175
"ENSMUSG00000015094",6.25,5.725
"ENSMUSG00000015120",4.575,4.025
"ENSMUSG00000015189",2.825,3.375
"ENSMUSG00000015222",2.35,2.95
"ENSMUSG00000015291",5.175,3.2
"ENSMUSG00000015363",3.275,3.275
"ENSMUSG00000015461",2.175,2.7
"ENSMUSG00000015488",4.75,4.025
"ENSMUSG00000015501",2.325,2.05
"ENSMUSG00000015575",6.025,3
"ENSMUSG00000015597",1.625,4.15
"ENSMUSG00000015672",5.375,4.45
"ENSMUSG00000015709",4.65,2.85
"ENSMUSG00000015749",7.2,6.275
"ENSMUSG00000015750",5.05,3.875
"ENSMUSG00000015757",3.95,2.625
"ENSMUSG00000015759",5.3,2.625
"ENSMUSG00000015804",1.925,3.575
"ENSMUSG00000015869",5.65,4.425
"ENSMUSG00000015882",4.25,2.775
"ENSMUSG00000016018",3.8,4.475
"ENSMUSG00000016253",3.75,2.925
"ENSMUSG00000016346",3.375,3.275
"ENSMUSG00000016386",2.375,3.2
"ENSMUSG00000016619",5,4.55
"ENSMUSG00000016763",1,1.325
"ENSMUSG00000016933",3.5,2.775
"ENSMUSG00000017291",2.725,3.8
"ENSMUSG00000017376",4.45,2.05
"ENSMUSG00000017418",2.675,4.675
"ENSMUSG00000017421",5.775,5.2
"ENSMUSG00000017478",3.575,3.325
"ENSMUSG00000017485",3.55,3.675
"ENSMUSG00000017491",3.425,2.7
"ENSMUSG00000017493",5.75,5.075
"ENSMUSG00000017548",2.95,2.425
"ENSMUSG00000017615",4.05,3.575
"ENSMUSG00000017686",4.575,2.1
"ENSMUSG00000017707",6.925,5.225
"ENSMUSG00000017721",4.8,3.175
"ENSMUSG00000017760",8.1,8.1
"ENSMUSG00000017778",7.7,5.775
"ENSMUSG00000017943",2.925,4.5
"ENSMUSG00000018076",3.675,1.55
"ENSMUSG00000018160",3.4,3.8
"ENSMUSG00000018189",1.95,2.15
"ENSMUSG00000018199",2.575,1.35
"ENSMUSG00000018363",1.775,2.325
"ENSMUSG00000018377",2.275,3.575
"ENSMUSG00000018378",2.75,3.75
"ENSMUSG00000018379",3.725,3.625
"ENSMUSG00000018412",1.725,1.475
"ENSMUSG00000018433",2.375,3.4
"ENSMUSG00000018501",3.775,2.3
"ENSMUSG00000018547",3.225,5.6
"ENSMUSG00000018567",4.125,2.6
"ENSMUSG00000018572",4.325,2.35
"ENSMUSG00000018666",4.625,2.55
"ENSMUSG00000018707",3.125,3.15
"ENSMUSG00000018736",2.525,2.3
"ENSMUSG00000018761",5.15,3.9
"ENSMUSG00000018770",8.975,8.575
"ENSMUSG00000018846",2.95,3.025
"ENSMUSG00000018965",5.425,3.2
"ENSMUSG00000018974",4.05,3.8
"ENSMUSG00000019054",10.025,5.2
"ENSMUSG00000019087",3.175,7.15
"ENSMUSG00000019124",4.025,2.9
